Date, Open, High, Low
2016-10-24, 132.72, 133.405, 132.15
2016-10-21, 129.78, 132.13, 129.7
2016-10-20, 130.07, 130.66, 129.5
2016-10-19, 128.74, 130.47, 128.6
2016-10-18, 128.68, 129.39, 128.01
2016-10-17, 128.2, 128.47, 127.32
2016-10-14, 128.49, 128.95, 127.58
2016-10-13, 128.21, 128.25, 126.75
2016-10-12, 129.01, 129.66, 128.46
2016-10-11, 130.23, 130.64, 128.23
2016-10-10, 129.68, 130.7, 129.2
2016-10-07, 129.04, 129.25, 128.33
2016-10-06, 128.43, 129.06, 128.08
2016-10-05, 128.25, 128.8, 127.83
2016-10-04, 129.17, 129.2765, 127.5499
2016-10-03, 128.38, 129.09, 127.8
2016-09-30, 128.03, 128.59, 127.45
2016-09-29, 129.18, 129.29, 127.55
2016-09-28, 129.21, 129.47, 128.4
2016-09-27, 127.61, 129.01, 127.43
2016-09-26, 127.37, 128.16, 126.8
2016-09-23, 127.56, 128.6, 127.3
2016-09-22, 130.5, 130.73, 129.56
2016-09-21, 129.13, 130.005, 128.39
2016-09-20, 128.65, 129.17, 128.0307
2016-09-19, 129.91, 129.94, 128.26
2016-09-16, 128.2, 129.18, 128.2
2016-09-15, 127.98, 129.1, 127.67
2016-09-14, 126.89, 128.8, 126.89
2016-09-13, 128.03, 128.35, 126.66
2016-09-12, 125.96, 128.76, 125.75
2016-09-09, 129.71, 129.949, 127.1
2016-09-08, 130.92, 131.08, 129.81
2016-09-07, 130.04, 131.98, 129.95
2016-09-06, 126.67, 129.94, 126.47
2016-09-02, 126.85, 126.86, 126.0
2016-09-01, 126.38, 126.63, 125.6
2016-08-31, 125.6, 126.22, 125.1
2016-08-30, 126.6, 126.6, 125.15
2016-08-29, 124.35, 126.73, 124.35
2016-08-26, 124.05, 125.19, 123.91
2016-08-25, 123.12, 124.37, 123.1
2016-08-24, 124.47, 124.69, 123.09
2016-08-23, 124.51, 125.09, 124.25
2016-08-22, 123.33, 124.83, 123.11
2016-08-19, 123.6, 124.157, 123.28
2016-08-18, 124.01, 124.26, 123.64
2016-08-17, 123.66, 124.38, 122.85
2016-08-16, 123.5, 123.92, 122.78
2016-08-15, 124.91, 124.92, 123.7
2016-08-12, 124.7, 125.0, 124.18
2016-08-11, 125.2, 125.38, 124.75
2016-08-10, 125.07, 125.48, 124.54
2016-08-09, 125.34, 126.09, 124.53
2016-08-08, 125.25, 125.45, 124.55
2016-08-05, 124.98, 125.835, 124.6184
2016-08-04, 122.94, 124.79, 122.51
2016-08-03, 123.09, 123.92, 122.31
2016-08-02, 124.06, 124.8, 122.07
2016-08-01, 123.85, 124.58, 122.86
2016-07-29, 124.65, 125.84, 123.71
2016-07-28, 127.52, 128.33, 123.63
2016-07-27, 122.42, 125.0, 121.51
2016-07-26, 122.0, 122.07, 120.75
2016-07-25, 121.39, 121.85, 117.78
2016-07-22, 119.9, 121.01, 119.31
2016-07-21, 121.92, 122.1, 120.25
2016-07-20, 121.25, 122.2, 120.56
2016-07-19, 118.99, 120.85, 118.66
2016-07-18, 117.32, 119.61, 116.89
2016-07-15, 117.74, 118.28, 116.58
2016-07-14, 117.5, 117.64, 116.7
2016-07-13, 118.39, 118.4, 116.68
2016-07-12, 118.63, 118.72, 117.57
2016-07-11, 117.71, 118.7, 117.5
2016-07-08, 116.43, 117.5, 115.85
2016-07-07, 116.63, 116.97, 115.36
2016-07-06, 113.36, 116.79, 112.97
2016-07-05, 113.94, 114.11, 112.97
2016-07-01, 114.2, 115.13, 113.81
2016-06-30, 114.67, 115.18, 113.67
